	Motif_ID	TF_Names
144	M00259_2.00	Foxc1;Foxc2;Foxd1;Foxd2;Foxd3;Foxd4;Foxe1;Foxf1;Foxf2;Foxg1;Foxi1;Foxi3;Foxk2;Foxl1;Foxl2;Foxp4;Foxs1;Gm5294
145	M00260_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barhl1;Barhl2;Barx1;Barx2;Bsx;Dlx1;Dlx2;Dlx3;Dlx4;Dlx5;Dlx6;Emx1;Emx2;En1;En2;Esx1;Evx1;Evx2;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
146	M00261_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barhl1;Barhl2;Barx1;Barx2;Bsx;Dlx1;Dlx2;Dlx3;Dlx4;Dlx5;Dlx6;Emx1;Emx2;En1;En2;Esx1;Evx1;Evx2;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
147	M00262_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barhl1;Barhl2;Barx1;Barx2;Bsx;Dlx1;Dlx2;Dlx3;Dlx4;Dlx5;Dlx6;Emx1;Emx2;En1;En2;Esx1;Evx1;Evx2;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
148	M00263_2.00	Alx1;Alx3;Alx4;Arx;En1;En2;Gbx1;Gbx2;Hesx1;Isx;Lhx2;Lhx3;Lhx4;Lhx9;Mixl1;Nkx1-1;Nkx1-2;Otp;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vsx1;Vsx2
149	M00264_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barhl1;Barhl2;Barx1;Barx2;Bsx;Dlx1;Dlx2;Dlx3;Dlx4;Dlx5;Dlx6;Emx1;Emx2;En1;En2;Esx1;Evx1;Evx2;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
150	M00265_2.00	Alx1;Alx3;Alx4;Arx;Esx1;Isx;Mixl1;Otp;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vsx1;Vsx2
151	M00266_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barx1;Barx2;Bsx;Dlx2;Dlx3;Emx1;Emx2;En1;En2;Esx1;Evx1;Evx2;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isl1;Isl2;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
152	M00267_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barx1;Barx2;Bsx;Emx1;Emx2;En1;En2;Esx1;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isx;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
153	M00268_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barx1;Barx2;Bsx;Dlx2;Dlx3;En1;En2;Esx1;Gbx1;Gbx2;Hesx1;Hoxa2;Hoxb2;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
154	M00269_2.00	A1JVI6_MOUSE;Alx1;Alx3;Alx4;Arx;Barx1;Barx2;Bsx;Dlx2;Dlx3;Emx1;Emx2;En1;En2;Esx1;Evx1;Evx2;Gbx1;Gbx2;Gsx1;Gsx2;Hesx1;Hoxa2;Hoxa3;Hoxb2;Hoxb3;Hoxd3;Isl1;Isl2;Isx;Lbx1;Lbx2;Lhx1;Lhx2;Lhx3;Lhx4;Lhx5;Lhx6;Lhx8;Lhx9;Lmx1a;Lmx1b;Meox1;Mixl1;Mnx1;Msx1;Msx2;Msx3;Nkx1-1;Nkx1-2;Nobox;Noto;Otp;Pdx1;Phox2a;Phox2b;Prop1;Prrx1;Prrx2;Prrxl1;Rax;Sebox;Shox2;Uncx;Vax1;Vax2;Vsx1;Vsx2
155	M00270_2.00	Crx;Dmbx1;Gsc;Gsc2;Obox6;Otx1;Otx2;Pitx1;Pitx2;Pitx3
156	M00271_2.00	Crx;Dmbx1;ENSMUSG00000097436;Gsc;Gsc2;Obox6;Otx1;Otx2;Pitx1;Pitx2;Pitx3;Rhox9
157	M00272_2.00	Crx;Dmbx1;ENSMUSG00000097436;Gsc;Gsc2;Obox6;Otx1;Otx2;Pitx1;Pitx2;Pitx3;Rhox9
158	M00273_2.00	Crx;Dmbx1;ENSMUSG00000097436;Gsc;Gsc2;Obox6;Otx1;Otx2;Pitx1;Pitx2;Pitx3;Rhox9
159	M00274_2.00	Crx;Dmbx1;ENSMUSG00000097436;Gsc;Gsc2;Obox6;Otx1;Otx2;Pitx1;Pitx2;Pitx3;Rhox9
160	M00275_2.00	Crx;Dmbx1;ENSMUSG00000097436;Gsc;Gsc2;Obox6;Otx1;Otx2;Pitx1;Pitx2;Pitx3;Rhox9
161	M00276_2.00	Pbx1;Pbx2;Pbx3;Pbx4
162	M00277_2.00	Pbx1;Pbx2;Pbx3;Pbx4
