	Motif_ID	TF_Names
418	M01490_2.00	Elf5
419	M01491_2.00	Etv6
420	M01492_2.00	Elf4
421	M01493_2.00	Ets1
422	M01494_2.00	Elf2
423	M01495_2.00	Erg
424	M01496_2.00	XP_911724.4
425	M01659_2.00	Arid3b
426	M01660_2.00	Arid3a
427	M01661_2.00	Arid5b
428	M01666_2.00	Arid2
429	M01683_2.00	Setbp1
430	M01684_2.00	Phf21a
431	M01715_2.00	Tfe3
432	M01716_2.00	Mnt
433	M01717_2.00	Tfap4
434	M01718_2.00	Twist2
435	M01719_2.00	Arnt
436	M01720_2.00	Arnt2
437	M01721_2.00	Mlx
438	M01722_2.00	Hey2;Heyl
439	M01723_2.00	Tcf3
440	M01724_2.00	Srebf1
441	M01725_2.00	Srebf2
442	M01726_2.00	Hes1
443	M01727_2.00	Hes7
444	M01728_2.00	Tfeb
445	M01729_2.00	Bhlhe22
446	M01730_2.00	Msc
447	M01731_2.00	Npas2
448	M01732_2.00	Usf1
449	M01733_2.00	Sohlh2
450	M01734_2.00	Hes2
451	M01735_2.00	Clock
452	M01736_2.00	Tfec
453	M01737_2.00	Figla
454	M01738_2.00	Bhlhe40
455	M01739_2.00	Bhlhe41
456	M01740_2.00	Tcf12
457	M01741_2.00	Mitf
458	M01742_2.00	Myf6
459	M01743_2.00	Mlxip
460	M01744_2.00	Tcfl5
461	M01745_2.00	Olig3
462	M01746_2.00	Tcf21
463	M01747_2.00	Hes5
464	M01748_2.00	Neurog1
465	M01749_2.00	Bhlha15
466	M01750_2.00	Tcf4
467	M01751_2.00	Arntl
468	M01752_2.00	Usf2
469	M01753_2.00	Max
470	M01754_2.00	Atoh1
471	M01789_2.00	Cebpd
472	M01802_2.00	Xbp1
473	M01803_2.00	Tef
474	M01804_2.00	Atf1
475	M01805_2.00	Fosl1
476	M01806_2.00	Creb1
477	M01807_2.00	Atf3
478	M01808_2.00	Atf2
479	M01809_2.00	Fosl2
480	M01810_2.00	Jdp2
481	M01811_2.00	Cebpa
482	M01812_2.00	Creb3l2
483	M01813_2.00	Crebzf
484	M01814_2.00	Mafg
485	M01815_2.00	Cebpe
486	M01816_2.00	Jun
487	M01817_2.00	Cebpg
488	M01818_2.00	Cebpb
489	M01819_2.00	Nfil3
490	M01820_2.00	Dbp
491	M01821_2.00	Crem
492	M01822_2.00	Jund
493	M01823_2.00	Atf7
494	M01862_2.00	Sp4
495	M01863_2.00	Zfp711
496	M01864_2.00	Egr1
497	M01911_2.00	Kdm2b
498	M01912_2.00	Kmt2a
499	M01913_2.00	Dnmt1
500	M01914_2.00	Tet1
501	M01915_2.00	Kdm2a
502	M01916_2.00	Fbxl19
503	M01918_2.00	XP_006525770.1
504	M01919_2.00	Cxxc1
505	M01927_2.00	Dmrt3
506	M01930_2.00	Dmrta2
507	M01931_2.00	Dmrt2
508	M01980_2.00	Foxj2
509	M01981_2.00	Foxj3
510	M01982_2.00	Foxc1
511	M01983_2.00	Foxb1;Foxb2
512	M01984_2.00	Gm5294
513	M02030_2.00	Tfcp2
514	M02033_2.00	A1JVI6_MOUSE
515	M02088_2.00	Emx1
516	M02090_2.00	Lbx1
517	M02097_2.00	Sebox
518	M02098_2.00	Nanog
519	M02099_2.00	Duxbl1
520	M02100_2.00	Rhox11
521	M02101_2.00	Noto
522	M02103_2.00	ENSMUSG00000097126;Rhox8
523	M02184_2.00	Hhex
524	M02238_2.00	Pou1f1
525	M02255_2.00	Irf7
526	M02323_2.00	Terf2
527	M02386_2.00	Myrf
528	M02395_2.00	Nr3c2
529	M02399_2.00	Nr2c1
530	M02400_2.00	Rxrg
531	M02401_2.00	Rarb
532	M02402_2.00	Rxrb
533	M02433_2.00	Lcor
534	M02442_2.00	Nfat5
535	M02452_2.00	Rfx8
536	M02464_2.00	AC168977.1;Sp110
537	M02487_2.00	Hmg20a;Hmg20b
538	M02527_2.00	Lin54
539	M02538_2.00	Thap12
540	M02633_2.00	Cebpb
541	M02634_2.00	Cebpb
