	Motif_ID	TF_Names
202	M00388_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Mnx1::Prrxl1
203	M00389_2.00	Hoxc13
204	M00390_2.00	Hoxc11::Hoxd12
205	M00391_2.00	Hoxc8
206	M00392_2.00	Hoxc6::Hoxd4
207	M00393_2.00	Emx1::Evx2::Gsx1::Hesx1::Hoxb1::Hoxb2::Hoxd4::Lbx1::Prrxl1::Tlx1::Tlx3
208	M00394_2.00	Hoxd13
209	M00395_2.00	Emx1::Evx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Hoxd4::Lbx1::Prrxl1::Tlx1::Tlx3
210	M00396_2.00	ENSMUSG00000097436::Gsc2::Otx1::Rhox9
211	M00397_2.00	ENSMUSG00000097200::Rhox6
212	M00398_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Prrxl1::Tlx1::Tlx3::Vax1
213	M00399_2.00	Pknox1
214	M00400_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Phox2a::Prrxl1
215	M00401_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Phox2b::Prrxl1
216	M00402_2.00	Alx3::Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1
217	M00403_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxa2::Hoxb1::Hoxb2::Hoxd4::Prrxl1
218	M00404_2.00	Nkx2-5
219	M00405_2.00	Dlx6::Hoxb2::Lhx1::Prrxl1
220	M00406_2.00	Emx1::Hesx1::Lhx9::Prrxl1
221	M00407_2.00	Meis1
222	M00408_2.00	Hnf1b
223	M00409_2.00	Dlx4::Dlx6::Gsx1::Hoxb1::Hoxb2
224	M00410_2.00	Hoxb9
225	M00411_2.00	ENSMUSG00000097436::Gsc::Gsc2::Rhox9
226	M00412_2.00	Six6
227	M00413_2.00	Barx1::Dlx6::Emx1::Gsx1::Hoxb1::Hoxb2::Hoxd4::Prrxl1
228	M00414_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Msx2::Prrxl1
229	M00415_2.00	Gsc2::Pitx1
230	M00416_2.00	Irx4
231	M00417_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Hoxd4::Otp::Prrxl1
232	M00418_2.00	ENSMUSG00000097436::Gsc2::Otx2::Rhox9
233	M00419_2.00	Hmbox1
234	M00420_2.00	Nkx3-1
235	M00421_2.00	Hoxc10::Hoxd12
236	M00422_2.00	Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxc5::Hoxd4
237	M00423_2.00	Dlx2::Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Prrxl1
238	M00424_2.00	Esx1::Prrxl1
239	M00425_2.00	Six2::Six5
240	M00426_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1::Rax
241	M00427_2.00	Cdx1
242	M00428_2.00	Gsc2::Pitx3
243	M00429_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Lbx1::Msx3::Prrxl1
244	M00430_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lhx4::Prrxl1
245	M00431_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrx1::Prrxl1
246	M00432_2.00	Hesx1::Lmx1a::Prrxl1
247	M00433_2.00	Barhl1::Dlx6::Emx1::Hmx3::Hoxb2::Lbx1::Tlx1::Tlx3
248	M00434_2.00	Lhx6::Prrxl1
249	M00435_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lhx3::Prrxl1
250	M00436_2.00	Hoxd4::Hoxd8
251	M00437_2.00	Meis2
252	M00438_2.00	Nkx2-2
253	M00439_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Lbx1::Prrxl1::Shox2
254	M00440_2.00	Gsc2::Pitx2
255	M00441_2.00	Dmbx1::ENSMUSG00000097436::Gsc2::Rhox9
256	M00442_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Nkx1-1::Prrxl1::Tlx1::Tlx3
257	M00443_2.00	Dlx6::Emx1::Gsx1::Hesx1::Hoxb1::Hoxb2::Lbx1::Prrxl1::Uncx
258	M00444_2.00	Hnf1a
259	M00445_2.00	Dlx6::Hoxb2::Lhx5::Prrxl1
260	M00446_2.00	Dlx6::Emx1::Gsx1::Hmx3::Hoxb1::Hoxb2::Hoxd4::Pdx1::Prrxl1
261	M00447_2.00	Cdx2
262	M00448_2.00	Nobox::Prrxl1
263	M00449_2.00	Dlx5::Dlx6::Gsx1::Hoxb1::Hoxb2
264	M00450_2.00	Dlx6::Emx1::Gsx1::Hoxa1::Hoxb1::Hoxb2::Hoxd4
265	M00451_2.00	Dbx1
266	M00452_2.00	Dlx6::Gsx1::Hesx1::Hoxb1::Hoxb2::Hoxd4::Isx::Prrxl1
267	M00453_2.00	Irx1::Irx3
268	M00454_2.00	Irx1::Irx3
269	M00455_2.00	Irx5
270	M00456_2.00	Irx6
271	M00457_2.00	Barx2::Dlx6::Emx1::Gsx1::Hoxb1::Hoxb2::Hoxd4::Prrxl1
272	M00458_2.00	Isl2
273	M00459_2.00	Emx1::Gsx1::Hesx1::Hoxb2::Lbx1::Prrxl1::Vsx1
274	M00460_2.00	Barhl2::Dlx6::Emx1::Hmx3::Hoxb2::Lbx1::Tlx1::Tlx3
275	M00461_2.00	Six4::Six5
